Date,y,,
2023-04-28,331746436.3,,
2023-04-29,358383011.5,,
2023-04-30,440714243.8,,
2023-05-01,312374381.6,,
2023-05-02,341432463.6,,
2023-05-03,351888475.1,,
2023-05-04,283977798.5,,
2023-05-05,355568840.1,,
2023-05-06,331705159.6,,
2023-05-07,326932423.5,,
2023-05-08,360341576.2,,
2023-05-09,405682569.3,,
2023-05-10,360341576.2,,
2023-05-11,336477895.7,,
2023-05-12,346023367.9,,
2023-05-13,415228041.5,,
2023-05-14,350796104,,
2023-05-15,365114312.3,,
2023-05-16,381818888.7,,
2023-05-17,344768089.1,,
2023-05-18,369469365.8,,
2023-05-19,322669912.8,,
2023-05-20,371932494.9,,
2023-05-21,354690591.1,,
2023-05-22,379321882.2,,
2023-05-23,347301203.8,,
2023-05-24,371932494.9,,
2023-05-25,376858753.1,,
2023-05-26,357153720.2,,
2023-05-27,394100656.8,,
2023-05-28,399026915,,
2023-05-29,379321882.2,,
2023-05-30,349729770.9,,
2023-05-31,336187209.5,,
2023-06-01,417687139.1,,
2023-06-02,331093463.9,,
2023-06-03,376937174.3,,
2023-06-04,351468446.3,,
2023-06-05,384577792.7,,
2023-06-06,343827827.9,,
2023-06-07,392218411.1,,
2023-06-08,430421503.1,,
2023-06-09,392218411.1,,
2023-06-10,415140266.3,,
2023-06-11,399859029.5,,
2023-06-12,374390301.5,,
2023-06-13,312388215,,
2023-06-14,385148460.2,,
2023-06-15,398160232.5,,
2023-06-16,364329624.5,,
2023-06-17,392955523.5,,
2023-06-18,369534333.4,,
2023-06-19,353920206.6,,
2023-06-20,314884889.7,,
2023-06-21,356522561.1,,
2023-06-22,325294307.6,,
2023-06-23,379943751.2,,
2023-06-24,398160232.5,,
2023-06-25,379943751.2,,
2023-06-26,364329624.5,,
2023-06-27,280545974.4,,
2023-06-28,367574940.3,,
2023-06-29,397786579.2,,
2023-06-30,334845664.8,,
2023-07-01,430515854.7,,
2023-07-02,344916211.1,,
2023-07-03,357504394,,
2023-07-04,390233669.5,,
2023-07-05,349951484.3,,
2023-07-06,440586401,,
2023-07-07,448139310.8,,
2023-07-08,425480581.6,,
2023-07-09,387716032.9,,
2023-07-10,339880937.9,,
2023-07-11,382989765.6,,
2023-07-12,321592673.5,,
2023-07-13,369831574.5,,
2023-07-14,369831574.5,,
2023-07-15,415390536.6,,
2023-07-16,364471696.6,,
2023-07-17,434150109.2,,
2023-07-18,396630964,,
2023-07-19,343032185.1,,
2023-07-20,300153161.9,,
2023-07-21,359111818.8,,
2023-07-22,393951025.1,,
2023-07-23,401990841.9,,
2023-07-24,369831574.5,,
2023-07-25,381190141.6,,
2023-07-26,358973121.3,,
2023-07-27,364175630.3,,
2023-07-28,343365594.3,,
2023-07-29,437010756.3,,
2023-07-30,366776884.8,,
2023-07-31,361574375.8,,
2023-08-01,400593193.3,,
2023-08-02,392789429.8,,
2023-08-03,314751794.7,,
2023-08-04,400593193.3,,
2023-08-05,426605738.3,,
2023-08-06,379783157.3,,
2023-08-07,325156812.7,,
2023-08-08,421650114.7,,
2023-08-09,330756213.4,,
2023-08-10,393261324.6,,
2023-08-11,434931398.8,,
2023-08-12,351591250.5,,
2023-08-13,445348917.3,,
2023-08-14,445348917.3,,
2023-08-15,424513880.2,,
2023-08-16,406283222.8,,
2023-08-17,362008769,,
2023-08-18,364613148.7,,
2023-08-19,421909500.6,,
2023-08-20,429722639.5,,
2023-08-21,380936887.2,,
2023-08-22,392623891.9,,
2023-08-23,384329021,,
2023-08-24,373269193,,
2023-08-25,378799107,,
2023-08-26,320735010.3,,
2023-08-27,326264924.3,,
2023-08-28,436863203.7,,
2023-08-29,348384580.2,,
2023-08-30,398153805.9,,
2023-08-31,417508504.8,,
2023-09-01,420273461.8,,
2023-09-02,436863203.7,,
2023-09-03,411978590.8,,
2023-09-04,342854666.2,,
2023-09-05,364419397.3,,
2023-09-06,393005453.9,,
2023-09-07,358011817.6,,
2023-09-08,406464544.8,,
2023-09-09,395697272.1,,
2023-09-10,427999090.2,,
2023-09-11,379546363.1,,
2023-09-12,395697272.1,,
2023-09-13,436074544.8,,
2023-09-14,506061817.4,,
2023-09-15,417231817.5,,
2023-09-16,401080908.5,,
2023-09-17,419923635.7,,
2023-09-18,385677556.7,,
2023-09-19,414558853.7,,
2023-09-20,391843300.1,,
2023-09-21,366288302.3,,
2023-09-22,442953295.8,,
2023-09-23,414558853.7,,
2023-09-24,411719409.5,,
2023-09-25,386164411.7,,
2023-09-26,445792740,,
2023-09-27,414558853.7,,
2023-09-28,417398298,,
2023-09-29,391843300.1,,
2023-09-30,400361632.7,,
2023-10-01,445792740,,
2023-10-02,466751379.4,,
2023-10-03,373280259.5,,
2023-10-04,401774935.8,,
2023-10-05,455914820.7,,
2023-10-06,487258964.7,,
2023-10-07,421721209.2,,
2023-10-08,444516950.2,,
2023-10-09,461613756,,
2023-10-10,455914820.7,,
2023-10-11,470162158.9,,
2023-10-12,393226532.9,,
2023-10-13,416022273.9,,
2023-10-14,475861094.2,,
2023-10-15,416156889.9,,
2023-10-16,491483968.4,,
2023-10-17,439908490.3,,
2023-10-18,424739232,,
2023-10-19,406536122,,
2023-10-20,455077748.6,,
2023-10-21,464179303.5,,
2023-10-22,476314710.2,,
2023-10-23,382265308.8,,
2023-10-24,436874638.6,,
2023-10-25,455077748.6,,
2023-10-26,467213155.2,,
2023-10-27,485416265.1,,
2023-10-28,415637677,,
2023-10-29,482540025.5,,
2023-10-30,481286782.9,,
2023-10-31,462656326.8,,
2023-11-01,447130946.7,,
2023-11-02,422290338.5,,
2023-11-03,521652771.1,,
2023-11-04,506127391,,
2023-11-05,394344654.4,,
2023-11-06,412975110.5,,
2023-11-07,462656326.8,,
2023-11-08,444025870.7,,
2023-11-09,478181706.9,,
2023-11-10,496812163,,
2023-11-11,506083624.1,,
2023-11-12,389037994.7,,
2023-11-13,443696225.4,,
